datetime,open,high,low,close,volume,pct_changes,volatility_zone,price_range,close_open_diff,volume_change,trend,transformed_at
2025-07-11 15:30:00,211.13,211.16,211.095001,211.14101,55629,,N/A,0.06499900000000025,0.011009999999998854,,N/A,2025-07-12 14:55:53.623146
2025-07-11 15:31:00,211.145,211.145,211.050003,211.11,76703,-0.014686867321500596,Stable,0.09499700000000644,-0.03499999999999659,21074.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:32:00,211.105,211.16,211.105,211.11,26953,0.0,Stable,0.05500000000000682,0.005000000000023874,-49750.0,Flat,2025-07-12 14:55:53.623146
2025-07-11 15:33:00,211.11501,211.145,211.1,211.12,33243,0.0047368670361480625,Stable,0.045000000000015916,0.004989999999992278,6290.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:34:00,211.12,211.16,211.1,211.155,44516,0.016578249336873796,Stable,0.060000000000002274,0.03499999999999659,11273.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:35:00,211.14,211.2,211.1001,211.11501,57842,-0.018938694324066585,Stable,0.099899999999991,-0.02498999999997409,13326.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:36:00,211.119,211.155,211.065,211.14,55776,0.01183714980756978,Stable,0.09000000000000341,0.020999999999986585,-2066.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:37:00,211.13499,211.17,211.089996,211.16499,34354,0.01183574879226601,Stable,0.08000399999997398,0.030000000000001137,-21422.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:38:00,211.16,211.2099,211.16,211.17,44835,0.002372552381912918,Stable,0.04990000000000805,0.009999999999990905,10481.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:39:00,211.17,211.2,211.15109,211.16,33978,-0.004735521144094701,Stable,0.04890999999997803,-0.009999999999990905,-10857.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:40:00,211.17,211.22,211.12,211.1282,67199,-0.015059670392125746,Stable,0.09999999999999432,-0.04179999999999495,33221.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:41:00,211.13,211.14639,211.029999,211.125,55863,-0.0015156667844462568,Stable,0.11639099999999303,-0.0049999999999954525,-11336.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:42:00,211.125,211.23,211.12,211.13,59627,0.0023682652457113207,Stable,0.10999999999998522,0.0049999999999954525,3764.0,Uptrend,2025-07-12 14:55:53.623146
2025-07-11 15:43:00,211.13499,211.14,211.029297,211.074997,35934,-0.02605172168805847,Stable,0.11070299999997246,-0.059992999999991525,-23693.0,Downtrend,2025-07-12 14:55:53.623146
2025-07-11 15:44:00,211.070007,211.11501,211.039993,211.082794,43067,0.003693947701455258,Stable,0.07501700000000255,0.01278700000000299,7133.0,Uptrend,2025-07-12 14:55:53.623146
